dv,demvotesh,repvotesh,year,stcd,openlag,red,inc,pv,southborder,lagdv,cutpoint,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Year17,Year18,Year19,Year20,Year21,demmvlag,use
56.6231,56.6231,43.3769,1968,1901,,0,1,56.07133,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
55.70587,55.70587,44.29413,1968,1902,,0,1,56.37313,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
26.40964,26.40964,73.59035,1968,2001,,0,-1,39.96906,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
59.05877,59.05877,40.94123,1968,2002,,0,1,39.06601,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
81.24639,81.24639,18.75361,1968,2003,,0,1,64.12505,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
65.59418,65.59418,34.40582,1968,2004,,0,1,52.91414,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
47.2763,47.2763,52.7237,1968,2005,,0,1,49.3028,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
47.00061,47.00061,52.99939,1968,2006,,0,0,40.54522,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
79.62041,79.62041,20.37959,1968,2007,,0,1,73.42496,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
39.10674,39.10674,60.89326,1968,2008,,0,-1,51.56194,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,0,99.81235,1968,2101,,1,-1,60.60654,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
73.64612,73.64526,26.35357,1968,2102,,1,1,67.0975,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
66.15311,47.82761,24.47074,1968,2103,,1,1,64.87186,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
60.95017,60.95017,39.04983,1968,2104,,1,1,64.34217,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
39.59044,39.59005,60.40898,1968,2105,,1,-1,65.57613,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
33.9215,33.92117,66.07787,1968,2106,,1,-1,61.82174,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
62.51575,62.51379,37.48307,1968,2107,,1,1,69.05848,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,99.99535,0,1968,2108,,1,1,78.70863,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
