GUBERNATORIAL National Summary 2020
,
Office,CensusPop,raceYear,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,20181106,General,Tennessee,"1,336,106","Lee, Bill",Challenger,"864,863","Dean, Karl",Challenger,Independent,"5,198","Clark, Sherry",Challenger,"37,127","471,243",R,.23,60.71,39.29,"The other vote was: Wright, Mark (Independent) 4,687; Whitlock, Patrick (Independent) 3,631; Neubert, Yvonne (Independent) 3,070; Scott, Heather (Independent) 2,969; Brown, Mark (Independent) 2,841; Wilmoth, Joe (Independent) 2,444; Smith, George Blackwell IV (Independent) 1,550; King, Cory (Independent) 1,502; Tisdale, Tracy (Independent) 1,396; Cornett, Justin (Independent) 1,217; Riden, Chad (Independent) 1,096; Sawyers, Robert Sr. (Independent) 1,059; Vineyard, Vinnie (Independent) 1,012; Tyler, Rick (Independe"
Governor,N/A,20181106,General,Kansas,"453,030","Kobach, Kris W.",Challenger,"506,509","Kelly, Laura",Challenger,Independent,"68,498","Orman, Greg",Challenger,"27,023","53,479",D,6.49,47.21,52.79,"The other vote was: Caldwell, Jeff (Libertarian) 20,009; Kloos, Rick (Independent) 6,576; Scattered Write-Ins (Write-in) 438"
Governor,N/A,20181106,General,Minnesota,"1,097,705","Johnson, Jeff",Challenger,"1,393,096","Walz, Timothy J.",Challenger,Grassroots - Legalize Cannabis,"68,667","Wright, Chris",Challenger,"27,819","295,391",D,2.65,44.07,55.93,"The other vote was: Welter, Josh (Libertarian) 26,735; Scattered Write-Ins (Write-in) 1,084"
Governor,N/A,20181106,General,Wisconsin,"1,295,080","Walker, Scott",Incumbent,"1,324,307","Evers, Tony",Challenger,Libertarian,"20,225","Anderson, Phillip N.",Challenger,"33,696","29,227",D,.76,49.44,50.56,"The other vote was: Turnbull, Maggie (Independent) 18,884; White, Michael J. (Green) 11,087; Enz, Arnie (Independent) 2,745; Scattered Write-Ins (Write-in) 966; Cason, Ryan (Write-in) 4; Davis, William Henry III (Write-in) 3; Turtenwald, Richard Michael (Write-in) 2; Grimek, Mark (Write-in) 2; Hoffman, Robbie (Write-in) 1; Boucher, Paul (Write-in) 1; Gehler, Corban (Write-in) 1"
Governor,N/A,20181106,General,Alaska,"145,631","Dunleavy, Mike J.",Challenger,"125,739","Begich, Mark",Challenger,Non Affiliated,"5,757","Walker, Bill",Challenger,"6,007","19,892",R,2.03,53.67,46.33,"The other vote was: Toien, William S. (Libertarian) 5,402; Scattered Write-Ins (Write-in) 605"
Governor,N/A,20181106,General,Florida,"4,076,186","DeSantis, Ron",Challenger,"4,043,723","Gillum, Andrew",Challenger,Reform,"47,140","Richardson, Darcy G.",Challenger,"53,512","32,463",R,.57,50.20,49.80,"The other vote was: Gibson, Kyle (No Party Affiliation) 24,310; Foley, Ryan Christopher (No Party Affiliation) 14,630; Stanley, Bruce (No Party Affiliation) 14,505; Johnson, Hal (Write-in) 61; Blass, Piotr (Write-in) 6"
Governor,N/A,20181106,General,California,"4,742,825","Cox, John H.",Challenger,"7,721,410","Newsom, Gavin",Challenger,N/A,N/A,N/A,N/A,N/A,"2,978,585",D,.00,38.05,61.95,
Governor,N/A,20181106,General,South Carolina,"921,342","McMaster, Henry D.",Incumbent,"784,182","Smith, James",Challenger,Write-in,"2,045",Scattered Write-Ins,Challenger,N/A,"137,160",R,.12,54.02,45.98,
,
CensusPopAll,AreaAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
N/A,United States,"91,901,129","43,476,882","46,298,981","1,325,257","800,009","2,822,099",D,47.31,50.38,1.44,.87,48.43,51.57
,
,
,
GUBERNATORIAL National Summary 2017
,
Office,CensusPop,raceYear,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,20171107,General,Virginia,"1,175,731","Gillespie, Edward W.",Challenger,"1,409,175","Northam, Ralph S.",Challenger,Libertarian,"27,987","Hyra, Clifford D.",Challenger,"1,389","233,444",D,1.07,45.48,54.52,"The other vote was: Scattered Write-Ins (Write-in) 1,389"
Governor,N/A,20171107,General,New Jersey,"899,583","Guadagno, Kim",Challenger,"1,203,110","Murphy, Philip",Challenger,Reduce Property Taxes,"12,294","Genovese, Gina",Challenger,"32,428","303,527",D,.57,42.78,57.22,"The other vote was: Rohrman, Peter J. (Libertarian) 10,531; Kaper-Dale, Seth (Green) 10,053; Riccardi, Matthew (Constitution) 6,864; Ross, Vincent (We the People) 4,980"
,
CensusPopAll,AreaAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
N/A,United States,"4,761,697","2,075,314","2,612,285","40,281","33,817","536,971",D,43.58,54.86,.85,.71,44.27,55.73
,
,
,
GUBERNATORIAL National Summary 2016
,
Office,CensusPop,raceYear,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,20161108,General,Montana,"236,115","Gianforte, Greg",Challenger,"255,933","Bullock, Steve",Incumbent,Libertarian,"17,312","Dunlap, Ted",Challenger,N/A,"19,818",D,3.40,47.99,52.01,
Governor,N/A,20161108,General,North Carolina,"2,298,880","McCrory, Pat",Incumbent,"2,309,157","Cooper, Roy",Challenger,Libertarian,"102,977","Cecil, Lon",Challenger,N/A,"10,277",D,2.19,49.89,50.11,
Governor,N/A,20161108,General,Oregon,"845,609","Pierce, Bud",Challenger,"985,027","Brown, Kate",Incumbent,Independent Party of Oregon,"47,481","Thomason, Cliff",Challenger,"67,929","139,418",D,2.44,46.19,53.81,"This was a special election to fill the last two years of the term vacated in February 2015 by Democrat John Kitzhaber.; The other vote was: Foster, James (Libertarian) 45,191; Auer, Donald Aaron (Constitution) 19,400; Scattered Write-Ins (Write-in) 3,338"
Governor,N/A,20161108,General,Utah,"750,850","Herbert, Gary R.",Incumbent,"323,349","Weinholtz, Mike",Challenger,Libertarian,"34,827","Kamerath, Brian",Challenger,"16,009","427,501",R,3.10,69.90,30.10,"The other vote was: Schanze, Dell (Independent) 15,912; Brown, L.S. (Write-in) 97"
Governor,N/A,20161108,General,West Virginia,"301,987","Cole, Bill",Challenger,"350,408","Justice, Jim",Challenger,Mountain,"42,068","Pritt, Charlotte",Challenger,"19,416","48,421",D,5.89,46.29,53.71,"The other vote was: Moran, David (Libertarian) 15,354; Hudok, Phil (Constitution) 4,041; Ible, Ras (Write-in) 14; Caldwell, Quinton (Write-in) 7"
Governor,N/A,20161108,General,North Dakota,"259,863","Burgum, Doug",Challenger,"65,855","Nelson, Marvin E.",Challenger,Libertarian,"13,230","Riske, Marty",Challenger,653,"194,008",R,3.90,79.78,20.22,The other vote was: Scattered Write-Ins (Write-in) 653
Governor,N/A,20161108,General,Missouri,"1,433,397","Greitens, Eric",Challenger,"1,277,360","Koster, Chris",Challenger,Libertarian,"41,154","Spragins, Cisse",Challenger,"51,135","156,037",R,1.47,52.88,47.12,"Missouri publishes results for the city of Kansas City instead of distributing its votes among counties.; The other vote was: Turilli, Lester Benton Jr. (Independent) 30,019; Fitz, Don (Green) 21,088; Altis, Dave (Write-in) 22; Brown, Theo Sr. (Write-in) 3; Lindstedt, Martin (Write-in) 3"
Governor,N/A,20161108,General,Vermont,"166,817","Scott, Phil",Challenger,"139,253","Minter, Sue",Challenger,Liberty Union,"8,912","Lee, Bill",Challenger,313,"27,564",R,2.83,54.50,45.50,The other vote was: Write-In (Write-in) 313
