GUBERNATORIAL National Summary 1980
,
Office,CensusPop,raceYear,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,19761102,General,New Hampshire,"197,589","Thomson, Meldrim Jr.",Incumbent,"145,015","Spanos, Harry V.",Challenger,N/A,N/A,N/A,N/A,65,"52,574",R,.00,57.67,42.33,
Governor,N/A,19761102,General,Rhode Island,"178,254","Taft, James L.",Challenger,"218,561","Garrahy, J. Joseph",Challenger,N/A,N/A,N/A,N/A,"1,868","40,307",D,.00,44.92,55.08,
Governor,N/A,19761102,General,Utah,"248,027","Romney, Vernon B.",Challenger,"280,706","Matheson, Scott M.",Challenger,N/A,N/A,N/A,N/A,"10,916","32,679",D,.00,46.91,53.09,
Governor,N/A,19761102,General,Vermont,"99,268","Snelling, Richard A.",Challenger,"75,262","Hackel, Stella B.",Challenger,N/A,N/A,N/A,N/A,"11,399","24,006",R,.00,56.88,43.12,
Governor,N/A,19761102,General,Washington,"687,039","Spellman, John D.",Challenger,"821,797","Ray, Dixy Lee",Challenger,N/A,N/A,N/A,N/A,"37,544","134,758",D,.00,45.53,54.47,
Governor,N/A,19761102,General,West Virginia,"253,420","Underwood, Cecil H.",Challenger,"495,661","Rockefeller, John D. IV",Challenger,N/A,N/A,N/A,N/A,189,"242,241",D,.00,33.83,66.17,
,
CensusPopAll,AreaAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
N/A,United States,"15,741,502","7,929,165","7,675,003",N/A,"137,334","254,162",R,50.37,48.76,.00,.87,50.81,49.19
,
,
,
GUBERNATORIAL National Summary 1975
,
Office,CensusPop,raceYear,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,1975,General,Kentucky,"277,998","Gable, Robert E.",Challenger,"470,159","Carroll, Julian",Incumbent,N/A,N/A,N/A,N/A,N/A,"192,161",D,.00,37.16,62.84,
Governor,N/A,19751213,General,Louisiana,N/A,N/A,N/A,"430,095","Edwards, Edwin W.",Incumbent,N/A,N/A,N/A,N/A,N/A,"430,095",D,.00,.00,100.00,Edwards was the only name on the ballot.  See also the 1975 Louisiana Open Primary for Governor in which Edwards won a lanslide victory against Democratic opponents. No Republicans entered either race.
Governor,N/A,1975,General,Mississippi,"319,632","Carmichael, Gil",Challenger,"369,568","Finch, Cliff",Challenger,N/A,N/A,N/A,N/A,"18,833","49,936",D,.00,46.38,53.62,
,
CensusPopAll,AreaAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
N/A,United States,"1,886,285","597,630","1,269,822",N/A,"18,833","672,192",D,31.68,67.32,.00,1.00,32.00,68.00
,
,
,
GUBERNATORIAL National Summary 1974
,
Office,CensusPop,raceYear,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,1974,General,Alaska,"45,840","Hammond, Jay S.",Challenger,"45,553","Egan, William A.",Incumbent,N/A,N/A,N/A,N/A,"4,770",287,R,.00,50.16,49.84,
Governor,N/A,1974,General,Alabama,"88,381","McCary, Elvin",Challenger,"497,574","Wallace, George C.",Incumbent,Prohibition,"12,350","Partain, NULL",Challenger,N/A,"409,193",D,2.06,15.08,84.92,
Governor,N/A,1974,General,Arkansas,"187,872","Coon, Ken",Challenger,"358,018","Pryor, David H.",Challenger,N/A,N/A,N/A,N/A,84,"170,146",D,.00,34.42,65.58,
Governor,N/A,1974,General,Arizona,"273,674","Williams, Jack R.",Incumbent,"278,375","Castro, Raul H.",Challenger,N/A,N/A,N/A,N/A,153,"4,701",D,.00,49.57,50.43,
Governor,N/A,1974,General,California,"2,952,954","Flournoy, Houston I.",Challenger,"3,131,648","Brown, Edmund G.",Challenger,N/A,N/A,N/A,N/A,"163,468","178,694",D,.00,48.53,51.47,
